1200100,Saison,Fair Winds Brewing Company,Saison / Farmhouse Ale,(3.48), 4.5% ABV , No IBU , 131 Ratings , Added 08/14/15 ,/FairWindsBrewingCompany
1200101,Revenge India Pale Ale,Quinta do Malte,IPA - American,(3.54), 7.5% ABV , 60 IBU ," 3,539 Ratings ", Added 08/19/15 ,/QuintadoMalte
1200102,Deminimus Roux,Penrose Brewing Company,Sour - Ale,(3.61), 4% ABV , No IBU , 816 Ratings , Added 08/14/15 ,/PenroseBrewingCompany
1200103,Pro-Am Barrel Aged Imperial Stout With Maple,Dry Dock Brewing Company,Stout - Imperial / Double,(3.92), 8.6% ABV , 47 IBU , 55 Ratings , Added 08/14/15 ,/DryDockBrewing
1200105,Rexx,Clown Shoes,Red Ale - Imperial / Double,(3.94), 12% ABV , No IBU ," 9,452 Ratings ", Added 05/27/15 ,/ClownShoes
1200109,Shiner Haymaker,Spoetzl Brewery,Pale Ale - American,(3.3), 4.5% ABV , No IBU ," 9,222 Ratings ", Added 09/25/14 ,/SpoetzlBrewery
1200111,The Forty Four,The Black Abbey Brewing Company,Porter - Other,(3.82), 4.8% ABV , 25 IBU ," 6,695 Ratings ", Added 12/10/11 ,/blackabbeybrewing
1200112,Pilsen (Costa Rica),Cerveceria Costa Rica (Florida Bebidas),Lager - Pale,(2.91), 5.1% ABV , No IBU ," 5,628 Ratings ", Added 01/02/11 ,/w/cerveceria-costa-rica-florida-bebidas/2336
1200113,Maurice Cream Ale,Boggy Draw Brewery,Cream Ale,(3.75), 7.8% ABV , No IBU , 41 Ratings , Added 08/14/15 ,/BoggyDraw
1200114,Banana Hammock Hefeweizen,Mad Beach Craft Brewing Company,Hefeweizen,(3.52), 5% ABV , 10 IBU , 269 Ratings , Added 08/14/15 ,/MadBeachCraftBrewingCompany
1200116,She Said,Drake's Brewing Company,IPA - English,(3.83), 6.6% ABV , No IBU , 166 Ratings , Added 08/14/15 ,/drakesbrewing
1200118,Le Terroir (Lips of Faith) (2015),New Belgium Brewing Company,American Wild Ale,(4.14), 7.5% ABV , No IBU ," 8,702 Ratings ", Added 06/06/15 ,/NewBelgium
1200119,Wicked Grin,Ratio Beerworks,Saison / Farmhouse Ale,(3.72), 5.5% ABV , No IBU , 222 Ratings , Added 08/14/15 ,/RatioBeerworks
1200122,Blackbeary Ale,Dead Bear Brewing Co.,Fruit Beer,(3.21), 5.5% ABV , No IBU , 14 Ratings , Added 08/14/15 ,/w/dead-bear-brewing-co/166833
1200123,Take Forever Ale,Test IPA,IPA - American,(3.88), No ABV , No IBU , 135 Ratings , Added 08/14/15 ,/breweryommegang
1200124,Major Dude IPA,Montavilla Brew Works,IPA - American,(3.37), 7.6% ABV , 67 IBU , 88 Ratings , Added 08/14/15 ,/MontavillaBrewWorks
1200126,New Mexico Chile Pale Ale,Rubicon Brewing Company,Pale Ale - American,(3.33), 5.4% ABV , 25 IBU , 18 Ratings , Added 08/14/15 ,/RubiconBrewingCo
1200127,Broken Bale,Harvest Moon Brewing Company (Montana),Brown Ale - English,(3.65), No ABV , No IBU , 427 Ratings , Added 09/04/15 ,/w/harvest-moon-brewing-company-montana/9165
1200128,The Forty Four,The Black Abbey Brewing Company,Porter - Other,(3.82), 4.8% ABV , 25 IBU ," 6,695 Ratings ", Added 12/10/11 ,/blackabbeybrewing
1200131,The Forty Four,The Black Abbey Brewing Company,Porter - Other,(3.82), 4.8% ABV , 25 IBU ," 6,695 Ratings ", Added 12/10/11 ,/blackabbeybrewing
1200133,Rye'd N' Wood,The Collective Brewing Project,Porter - Other,(3.99), 5.7% ABV , 30 IBU , 46 Ratings , Added 08/15/15 ,/TheCollectiveBrewingProject
1200137,Saison Physalis,Gram Bier,Saison / Farmhouse Ale,(3.37), 5.6% ABV , 26 IBU , 280 Ratings , Added 08/15/15 ,/GramBier
1200138,Worker's Comp Saison (W/ Passionfruit),Two Roads Brewing Company,Saison / Farmhouse Ale,(3.67), No ABV , No IBU , 142 Ratings , Added 08/15/15 ,/TwoRoadsBrewing
1200139,Tennessee Blonde,Fanatic Brewing Company,Blonde Ale,(3.44), 5% ABV , No IBU ," 1,994 Ratings ", Added 10/25/14 ,/FanaticBrewingCompany
1200140,One Buffalo,Southern Tier Brewing Company,Blonde Ale,(3.36), 4.8% ABV , 20 IBU ," 10,110 Ratings ", Added 08/15/15 ,/southerntierbrewing
